12/06/21 14:44:38;77.22
12/06/21 14:44:42;76.05
12/06/21 14:44:45;74.88
12/06/21 14:44:48;74.10
12/06/21 14:44:52;72.92
12/06/21 14:44:55;71.75
12/06/21 14:44:58;71.75
12/06/21 14:45:1;72.14
12/06/21 14:50:19;71.75
12/06/21 14:50:23;68.62
12/06/21 14:50:26;67.06
12/06/21 14:50:29;65.49
12/06/21 14:50:33;64.71
12/06/21 14:50:36;64.71
12/06/21 14:50:39;65.49
12/06/21 14:50:43;66.67
12/06/21 14:50:46;67.45
12/06/21 14:50:49;69.01
12/06/21 14:50:52;69.79
12/06/21 14:50:56;75.66
12/06/21 14:50:59;80.74
12/06/21 14:51:2;83.97
12/06/21 14:51:6;82.31
12/06/21 14:51:9;79.96
12/06/21 14:53:22;89.05
12/06/21 14:53:26;88.27
12/06/21 14:53:29;87.49
12/06/21 14:54:25;77.61
12/06/21 14:54:28;76.05
12/06/21 14:54:31;75.27
12/06/21 14:54:35;75.27
12/06/21 14:54:38;75.66
12/06/21 14:54:41;76.83
12/06/21 14:54:44;77.61
12/06/21 14:54:48;79.18
12/06/21 14:54:51;79.96
12/06/21 14:54:54;81.52
12/06/21 14:54:57;81.52
12/06/21 14:55:01;81.13
12/06/21 14:55:04;80.74
12/06/21 14:55:07;79.57
12/06/21 14:55:11;78.01
12/06/21 14:55:14;76.83
12/06/21 14:55:17;75.66
12/06/21 14:55:20;75.27
12/06/21 14:55:24;75.27
12/06/21 14:55:27;76.05
12/06/21 14:55:30;76.83
12/06/21 14:55:33;78.01
12/06/21 14:55:37;79.57
12/06/21 14:55:40;80.74
12/06/21 14:55:43;81.52
12/06/21 14:55:46;81.52
12/06/21 14:55:50;81.13
12/06/21 14:55:53;79.96
12/06/21 14:55:56;78.79
12/06/21 14:55:59;78.01
12/06/21 14:56:03;76.44
12/06/21 14:56:06;75.27
12/06/21 14:56:10;75.27
12/06/21 14:56:13;75.27
12/06/21 14:56:16;76.44
12/06/21 14:56:19;77.22
